income,credit_score,age,loan_amount,approved
45000,720,35,15000,1
32000,650,28,8000,1
78000,780,42,25000,1
52000,690,31,12000,1
28000,580,25,20000,0
18000,520,22,15000,0
95000,810,45,30000,1
41000,670,29,10000,1
22000,540,24,18000,0
67000,750,38,22000,1
55000,700,33,16000,1
31000,620,27,25000,0
88000,790,41,28000,1
43000,680,30,11000,1
25000,560,23,22000,0
72000,760,39,20000,1
49000,710,34,14000,1
19000,530,21,17000,0
85000,800,44,32000,1
38000,640,26,9000,1
29000,590,25,19000,0
62000,740,37,21000,1
51000,695,32,13000,1
23000,550,22,16000,0
91000,820,46,35000,1
46000,685,31,12500,1
27000,575,24,21000,0
69000,755,38,23000,1
53000,705,33,15500,1
21000,545,23,18500,0
76000,770,40,26000,1
40000,660,29,10500,1
30000,600,26,20000,0
64000,745,36,19000,1
48000,690,32,13500,1
20000,535,21,17500,0
82000,785,43,29000,1
44000,675,30,11500,1
26000,565,24,22500,0
71000,765,39,24000,1
50000,700,34,14500,1
24000,555,23,19500,0
87000,795,44,31000,1
42000,670,29,10800,1
28500,585,25,20500,0
66000,750,37,22500,1
54000,708,33,15800,1
22500,548,22,18200,0
89000,805,45,33000,1
47000,688,31,13200,1

